                         vars   n     mean       sd   median  trimmed      mad      min      max    range  skew kurtosis       se
Mean VIS.VIS1 (SD)                 |                  5.276 (1.458)
Mean VIS.VIS2 (SD)                 |                  5.242 (1.535)
Mean VIS.VIS3 (SD)                 |                  5.420 (1.422)
Mean VOI.VOI1 (SD)                 |                  3.992 (2.021)
Mean VOI.VOI2 (SD)                 |                  3.752 (2.013)
Mean VOI.VOI3 (SD)                 |                  4.127 (1.862)
Mean VOI.VOI4 (SD)                 |                  5.704 (1.369)
Mean PUA.PUA1 (SD)                 |                  5.539 (1.336)
Mean PUA.PUA2 (SD)                 |                  5.505 (1.340)
Mean PUA.PUA3 (SD)                 |                  5.537 (1.347)
Mean PUA.PUA4 (SD)                 |                  5.733 (1.281)
Mean PUA.PUA5 (SD)                 |                  5.562 (1.311)
Mean PUA.PUA6 (SD)                 |                  4.806 (1.722)
Mean PUA.PUA7 (SD)                 |                  5.566 (1.306)
Mean PUA.PUA8 (SD)                 |                  5.656 (1.244)
Mean RES.RES1 (SD)                 |                  5.420 (1.360)
Mean RES.RES2 (SD)                 |                  5.453 (1.245)
Mean RES.RES3 (SD)                 |                  5.612 (1.194)
Mean RES.RES4 (SD)                 |                  4.123 (1.867)
Mean SQR.SQR1 (SD)                 |                  5.102 (1.535)
Mean SQR.SQR2 (SD)                 |                  4.877 (1.583)
Mean SQR.SQR3 (SD)                 |                  4.639 (1.696)
Mean SQR.SQR4 (SD)                 |                  5.138 (1.493)
Mean SR.SR1 (SD)                   |                  4.065 (1.860)
Mean SR.SR2 (SD)                   |                  3.933 (1.896)
Mean SR.SR3 (SD)                   |                  4.154 (1.858)
Mean SR.SR4 (SD)                   |                  4.161 (1.847)
Mean LS.LS1 (SD)                   |                  5.601 (1.230)
Mean LS.LS2 (SD)                   |                  5.259 (1.352)
Mean LS.LS3 (SD)                   |                  5.177 (1.375)
Mean LS.LS4 (SD)                   |                  5.326 (1.350)
Mean LS.LS5 (SD)                   |                  5.359 (1.354)
Mean LS.LS6 (SD)                   |                  5.374 (1.362)
Mean LS.LS7 (SD)                   |                  5.228 (1.295)
Mean LS.LS8 (SD)                   |                  5.307 (1.344)
Mean PPC.PPC1 (SD)                 |                  5.347 (1.296)
Mean PPC.PPC2 (SD)                 |                  5.196 (1.398)
Mean PPC.PPC3 (SD)                 |                  5.392 (1.269)
Mean PPC.PPC4 (SD)                 |                  5.426 (1.243)
Mean PPC.PPC5 (SD)                 |                  5.113 (1.429)
Mean PPC.PPC6 (SD)                 |                  5.280 (1.323)
Mean PS.PS1 (SD)                   |                  5.405 (1.328)
Mean PS.PS2 (SD)                   |                  5.457 (1.293)
Mean PS.PS3 (SD)                   |                  5.491 (1.308)
Mean PS.PS4 (SD)                   |                  5.574 (1.267)
Mean PS.PS5 (SD)                   |                  5.459 (1.312)
Mean PS.PS6 (SD)                   |                  5.457 (1.268)
Mean PS.PS7 (SD)                   |                  5.559 (1.198)
Mean PS.PS8 (SD)                   |                  5.559 (1.222)
Mean PS.PS9 (SD)                   |                  5.605 (1.263)
Mean PS.PS10 (SD)                  |                  5.447 (1.296)
Mean PS.PS11 (SD)                  |                  5.457 (1.326)
Mean PUI.PUI1 (SD)                 |                  5.497 (1.332)
Mean PUI.PUI2 (SD)                 |                  5.413 (1.352)
Mean PUI.PUI3 (SD)                 |                  5.509 (1.322)
Mean PUI.PUI4 (SD)                 |                  5.568 (1.327)
Mean PUI.PUI5 (SD)                 |                  5.474 (1.359)
